x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-0.232841,-0.122095,0.5000,0.5000,0.0000
-0.319218,-0.050746,0.5000,0.5000,0.0000
-0.360748,0.041896,0.5000,0.5000,0.0000
-0.394799,0.159746,0.5000,0.5000,0.0000
-0.416651,0.269231,0.5000,0.5000,0.0000
-0.416162,0.374504,0.5000,0.5000,0.0000
-0.416896,0.492333,0.5000,0.5000,0.0000
-0.437001,0.596989,0.5000,0.5000,0.0000
-0.434274,0.703331,0.5000,0.5000,0.0000
-0.448244,0.827789,0.5000,0.5000,0.0000
-0.469424,0.949571,0.5000,0.5000,0.0000
-0.485742,1.077545,0.5000,0.5000,0.0000
-0.482297,1.200324,0.5000,0.5000,0.0000
-0.489054,1.314853,0.5000,0.5000,0.0000
-0.495282,1.431343,0.5000,0.5000,0.0000
-0.500637,1.553736,0.5000,0.5000,0.0000
-0.505865,1.671576,0.5000,0.5000,0.0000
-0.516002,1.771193,0.5000,0.5000,0.0000
-0.528510,1.895507,0.5000,0.5000,0.0000
-0.526535,1.997407,0.5000,0.5000,0.0000
-0.536383,2.098893,0.5000,0.5000,0.0000
-0.528571,2.199046,0.5000,0.5000,0.0000
-0.514729,2.299578,0.5000,0.5000,0.0000
-0.500526,2.410471,0.5000,0.5000,0.0000
-0.479032,2.516353,0.5000,0.5000,0.0000
-0.448797,2.616699,0.5000,0.5000,0.0000
-0.415036,2.719083,0.5000,0.5000,0.0000
-0.377322,2.827664,0.5000,0.5000,0.0000
-0.360689,2.932268,0.5000,0.5000,0.0000
-0.325650,3.028020,0.5000,0.5000,0.0000
-0.288963,3.126686,0.5000,0.5000,0.0000
-0.246638,3.222925,0.5000,0.5000,0.0000
-0.212626,3.342977,0.5000,0.5000,0.0000
-0.166658,3.446488,0.5000,0.5000,0.0000
-0.117062,3.535209,0.5000,0.5000,0.0000
-0.047604,3.625506,0.5000,0.5000,0.0000
-0.004550,3.723029,0.5000,0.5000,0.0000
0.069599,3.825605,0.5000,0.5000,0.0000
0.143267,3.926247,0.5000,0.5000,0.0000
0.193994,4.013854,0.5000,0.5000,0.0000
0.214229,4.112260,0.5000,0.5000,0.0000
0.218225,4.230246,0.5000,0.5000,0.0000
0.236928,4.352784,0.5000,0.5000,0.0000
0.255534,4.479657,0.5000,0.5000,0.0000
0.251915,4.597646,0.5000,0.5000,0.0000
0.274586,4.703562,0.5000,0.5000,0.0000
0.282419,4.803911,0.5000,0.5000,0.0000
0.292164,4.925931,0.5000,0.5000,0.0000
0.327283,5.046508,0.5000,0.5000,0.0000
0.331209,5.162928,0.5000,0.5000,0.0000
0.362834,5.276832,0.5000,0.5000,0.0000
0.353496,5.385086,0.5000,0.5000,0.0000
0.347941,5.488750,0.5000,0.5000,0.0000
0.339777,5.593712,0.5000,0.5000,0.0000
0.321772,5.710364,0.5000,0.5000,0.0000
0.306103,5.825552,0.5000,0.5000,0.0000
0.284600,5.934736,0.5000,0.5000,0.0000
0.277707,6.041535,0.5000,0.5000,0.0000
0.268969,6.151009,0.5000,0.5000,0.0000
0.268657,6.252517,0.5000,0.5000,0.0000
0.260767,6.364521,0.5000,0.5000,0.0000
0.246794,6.490892,0.5000,0.5000,0.0000
0.223101,6.596411,0.5000,0.5000,0.0000
0.188043,6.709599,0.5000,0.5000,0.0000
0.152983,6.812274,0.5000,0.5000,0.0000
0.116493,6.936862,0.5000,0.5000,0.0000
0.071581,7.046087,0.5000,0.5000,0.0000
0.030557,7.156980,0.5000,0.5000,0.0000
-0.004947,7.268392,0.5000,0.5000,0.0000
-0.043813,7.365032,0.5000,0.5000,0.0000
-0.078486,7.463234,0.5000,0.5000,0.0000
-0.135016,7.555748,0.5000,0.5000,0.0000
-0.201921,7.634555,0.5000,0.5000,0.0000
-0.201941,7.736869,0.5000,0.5000,0.0000
-0.225246,7.840465,0.5000,0.5000,0.0000
-0.230835,7.941012,0.5000,0.5000,0.0000
-0.234138,8.048989,0.5000,0.5000,0.0000
-0.232741,8.158690,0.5000,0.5000,0.0000
-0.237086,8.262294,0.5000,0.5000,0.0000
-0.249599,8.366487,0.5000,0.5000,0.0000
-0.241482,8.480336,0.5000,0.5000,0.0000
-0.245504,8.581562,0.5000,0.5000,0.0000
-0.256358,8.691088,0.5000,0.5000,0.0000
-0.256656,8.797433,0.5000,0.5000,0.0000
-0.261941,8.907361,0.5000,0.5000,0.0000
-0.267665,9.013702,0.5000,0.5000,0.0000
-0.284486,9.116209,0.5000,0.5000,0.0000
-0.292428,9.223465,0.5000,0.5000,0.0000
-0.294184,9.324518,0.5000,0.5000,0.0000
-0.297955,9.436739,0.5000,0.5000,0.0000
-0.289476,9.543181,0.5000,0.5000,0.0000
-0.296587,9.646235,0.5000,0.5000,0.0000
-0.286421,9.748165,0.5000,0.5000,0.0000
-0.302708,9.848210,0.5000,0.5000,0.0000
-0.283655,9.949993,0.5000,0.5000,0.0000
-0.243771,10.044584,0.5000,0.5000,0.0000
-0.211004,10.139816,0.5000,0.5000,0.0000
-0.157558,10.232852,0.5000,0.5000,0.0000
-0.062709,10.307205,0.5000,0.5000,0.0000
0.015867,10.370346,0.5000,0.5000,0.0000
0.114983,10.424134,0.5000,0.5000,0.0000
0.212796,10.462457,0.5000,0.5000,0.0000
0.312846,10.490859,0.5000,0.5000,0.0000
0.413459,10.507625,0.5000,0.5000,0.0000
0.513696,10.506305,0.5000,0.5000,0.0000
0.624470,10.499092,0.5000,0.5000,0.0000
0.725391,10.498796,0.5000,0.5000,0.0000
0.813468,10.450221,0.5000,0.5000,0.0000
0.917435,10.455546,0.5000,0.5000,0.0000
1.017506,10.464174,0.5000,0.5000,0.0000
1.112980,10.425275,0.5000,0.5000,0.0000
1.214675,10.400825,0.5000,0.5000,0.0000
1.317477,10.395130,0.5000,0.5000,0.0000
1.422531,10.394615,0.5000,0.5000,0.0000
1.527670,10.384173,0.5000,0.5000,0.0000
1.629057,10.361197,0.5000,0.5000,0.0000
1.734843,10.335773,0.5000,0.5000,0.0000
1.827849,10.291757,0.5000,0.5000,0.0000
1.927084,10.313462,0.5000,0.5000,0.0000
2.026776,10.303447,0.5000,0.5000,0.0000
2.130315,10.323143,0.5000,0.5000,0.0000
2.236627,10.305561,0.5000,0.5000,0.0000
2.331603,10.252976,0.5000,0.5000,0.0000
2.434407,10.229568,0.5000,0.5000,0.0000
2.537448,10.222459,0.5000,0.5000,0.0000
2.645106,10.218549,0.5000,0.5000,0.0000
2.765021,10.210176,0.5000,0.5000,0.0000
2.864298,10.233663,0.5000,0.5000,0.0000
2.976285,10.238901,0.5000,0.5000,0.0000
3.083596,10.228743,0.5000,0.5000,0.0000
3.187997,10.209526,0.5000,0.5000,0.0000
3.296565,10.192892,0.5000,0.5000,0.0000
3.403612,10.181020,0.5000,0.5000,0.0000
3.512720,10.192382,0.5000,0.5000,0.0000
3.625369,10.205589,0.5000,0.5000,0.0000
3.725107,10.215214,0.5000,0.5000,0.0000
3.828079,10.212831,0.5000,0.5000,0.0000
3.932703,10.203409,0.5000,0.5000,0.0000
4.038125,10.200245,0.5000,0.5000,0.0000
4.144542,10.221819,0.5000,0.5000,0.0000
4.248236,10.228464,0.5000,0.5000,0.0000
4.352711,10.235019,0.5000,0.5000,0.0000
4.460669,10.212853,0.5000,0.5000,0.0000
4.560201,10.202651,0.5000,0.5000,0.0000
4.661942,10.199302,0.5000,0.5000,0.0000
4.763308,10.222143,0.5000,0.5000,0.0000
4.864459,10.218770,0.5000,0.5000,0.0000
4.968510,10.206488,0.5000,0.5000,0.0000
5.076078,10.188648,0.5000,0.5000,0.0000
5.179616,10.172451,0.5000,0.5000,0.0000
5.282181,10.179461,0.5000,0.5000,0.0000
5.385462,10.177182,0.5000,0.5000,0.0000
5.476127,10.132767,0.5000,0.5000,0.0000
5.577423,10.112833,0.5000,0.5000,0.0000
5.602483,10.009158,0.5000,0.5000,0.0000
5.646246,9.915275,0.5000,0.5000,0.0000
5.755117,9.869928,0.5000,0.5000,0.0000
5.835953,9.808739,0.5000,0.5000,0.0000
5.945262,9.699477,0.5000,0.5000,0.0000
6.099423,9.626489,0.5000,0.5000,0.0000
6.248635,9.550317,0.5000,0.5000,0.0000
6.355890,9.546665,0.5000,0.5000,0.0000
6.507281,9.396351,0.5000,0.5000,0.0000
6.652229,9.266622,0.5000,0.5000,0.0000
6.885562,9.079159,0.5000,0.5000,0.0000
6.989008,9.073942,0.5000,0.5000,0.0000
7.050883,8.985288,0.5000,0.5000,0.0000
7.154963,8.960766,0.5000,0.5000,0.0000
7.264654,8.936087,0.5000,0.5000,0.0000
7.367477,8.933999,0.5000,0.5000,0.0000
7.355995,8.833730,0.5000,0.5000,0.0000
7.398424,8.741900,0.5000,0.5000,0.0000
7.365381,8.618356,0.5000,0.5000,0.0000
7.371064,8.513670,0.5000,0.5000,0.0000
7.342294,8.389848,0.5000,0.5000,0.0000
7.308385,8.291641,0.5000,0.5000,0.0000
7.258020,8.185659,0.5000,0.5000,0.0000
7.176687,8.084887,0.5000,0.5000,0.0000
7.104778,7.992966,0.5000,0.5000,0.0000
7.022730,7.894940,0.5000,0.5000,0.0000
6.956619,7.806627,0.5000,0.5000,0.0000
6.853829,7.702144,0.5000,0.5000,0.0000
6.767453,7.596563,0.5000,0.5000,0.0000
6.689181,7.530838,0.5000,0.5000,0.0000
6.600371,7.464996,0.5000,0.5000,0.0000
6.512672,7.382057,0.5000,0.5000,0.0000
6.413247,7.307393,0.5000,0.5000,0.0000
6.322154,7.236730,0.5000,0.5000,0.0000
6.252443,7.150506,0.5000,0.5000,0.0000
6.156990,7.088570,0.5000,0.5000,0.0000
6.074306,7.028654,0.5000,0.5000,0.0000
5.988210,6.970805,0.5000,0.5000,0.0000
5.889883,6.927426,0.5000,0.5000,0.0000
5.767878,6.902722,0.5000,0.5000,0.0000
5.659843,6.887950,0.5000,0.5000,0.0000
5.530562,6.893412,0.5000,0.5000,0.0000
5.416872,6.910176,0.5000,0.5000,0.0000
5.315006,6.926880,0.5000,0.5000,0.0000
5.206351,6.948516,0.5000,0.5000,0.0000
5.109200,6.982326,0.5000,0.5000,0.0000
4.996859,7.026974,0.5000,0.5000,0.0000
4.881110,7.088048,0.5000,0.5000,0.0000
4.782879,7.174453,0.5000,0.5000,0.0000
4.690482,7.258297,0.5000,0.5000,0.0000
4.604543,7.351326,0.5000,0.5000,0.0000
4.524835,7.466569,0.5000,0.5000,0.0000
4.554877,7.570445,0.5000,0.5000,0.0000
4.443975,7.605788,0.5000,0.5000,0.0000
4.510709,7.682300,0.5000,0.5000,0.0000
4.400068,7.720733,0.5000,0.5000,0.0000
4.441554,7.836269,0.5000,0.5000,0.0000
4.332160,7.877214,0.5000,0.5000,0.0000
4.414735,7.941514,0.5000,0.5000,0.0000
4.320763,7.984392,0.5000,0.5000,0.0000
4.392696,8.083028,0.5000,0.5000,0.0000
4.297800,8.122523,0.5000,0.5000,0.0000
4.361482,8.220568,0.5000,0.5000,0.0000
4.348714,8.320500,0.5000,0.5000,0.0000
4.377528,8.417418,0.5000,0.5000,0.0000
4.296815,8.482851,0.5000,0.5000,0.0000
4.395883,8.543081,0.5000,0.5000,0.0000
4.316422,8.604818,0.5000,0.5000,0.0000
4.370503,8.702697,0.5000,0.5000,0.0000
4.418404,8.813711,0.5000,0.5000,0.0000
4.440256,8.927574,0.5000,0.5000,0.0000
4.471946,9.032844,0.5000,0.5000,0.0000
4.500198,9.131561,0.5000,0.5000,0.0000
4.498787,9.236080,0.5000,0.5000,0.0000
4.577183,9.299208,0.5000,0.5000,0.0000
4.604363,9.403680,0.5000,0.5000,0.0000
4.634009,9.512934,0.5000,0.5000,0.0000
4.526847,9.497791,0.5000,0.5000,0.0000
4.625738,9.548876,0.5000,0.5000,0.0000
4.531699,9.595837,0.5000,0.5000,0.0000
4.635063,9.651130,0.5000,0.5000,0.0000
4.541135,9.605773,0.5000,0.5000,0.0000
4.646814,9.671434,0.5000,0.5000,0.0000
4.533160,9.663483,0.5000,0.5000,0.0000
4.643949,9.729768,0.5000,0.5000,0.0000
4.526462,9.721073,0.5000,0.5000,0.0000
4.620415,9.788338,0.5000,0.5000,0.0000
4.502237,9.743226,0.5000,0.5000,0.0000
4.592208,9.799131,0.5000,0.5000,0.0000
4.498357,9.762976,0.5000,0.5000,0.0000
4.592467,9.816031,0.5000,0.5000,0.0000
4.496036,9.768782,0.5000,0.5000,0.0000
4.556943,9.848315,0.5000,0.5000,0.0000
4.448483,9.866450,0.5000,0.5000,0.0000
4.459309,9.982988,0.5000,0.5000,0.0000
4.349851,9.944659,0.5000,0.5000,0.0000
4.322749,10.049134,0.5000,0.5000,0.0000
4.238057,9.987813,0.5000,0.5000,0.0000
4.127339,9.928449,0.5000,0.5000,0.0000
4.022681,9.948820,0.5000,0.5000,0.0000
3.923996,10.004077,0.5000,0.5000,0.0000
3.846318,10.070618,0.5000,0.5000,0.0000
3.715344,10.124355,0.5000,0.5000,0.0000
3.639611,10.199477,0.5000,0.5000,0.0000
3.515455,10.258885,0.5000,0.5000,0.0000
3.548219,10.355324,0.5000,0.5000,0.0000
3.441349,10.371727,0.5000,0.5000,0.0000
3.445857,10.473082,0.5000,0.5000,0.0000
3.395523,10.561491,0.5000,0.5000,0.0000
3.288337,10.534078,0.5000,0.5000,0.0000
3.198383,10.461719,0.5000,0.5000,0.0000
3.126746,10.373576,0.5000,0.5000,0.0000
3.064862,10.290568,0.5000,0.5000,0.0000
2.982932,10.203803,0.5000,0.5000,0.0000
2.936446,10.109310,0.5000,0.5000,0.0000
2.866098,9.989878,0.5000,0.5000,0.0000
2.829525,9.888774,0.5000,0.5000,0.0000
2.839211,9.789234,0.5000,0.5000,0.0000
2.756222,9.704421,0.5000,0.5000,0.0000
2.726268,9.576217,0.5000,0.5000,0.0000
2.732279,9.475938,0.5000,0.5000,0.0000
2.669296,9.375910,0.5000,0.5000,0.0000
2.734142,9.290079,0.5000,0.5000,0.0000
2.636835,9.228147,0.5000,0.5000,0.0000
2.628751,9.097416,0.5000,0.5000,0.0000
2.633139,8.975144,0.5000,0.5000,0.0000
2.595037,8.857001,0.5000,0.5000,0.0000
2.558167,8.733201,0.5000,0.5000,0.0000
2.542878,8.605475,0.5000,0.5000,0.0000
2.517857,8.484076,0.5000,0.5000,0.0000
2.484188,8.370728,0.5000,0.5000,0.0000
2.483156,8.262423,0.5000,0.5000,0.0000
2.469029,8.155400,0.5000,0.5000,0.0000
2.458496,8.041273,0.5000,0.5000,0.0000
2.407042,7.923994,0.5000,0.5000,0.0000
2.340231,7.806333,0.5000,0.5000,0.0000
2.271485,7.687416,0.5000,0.5000,0.0000
2.222842,7.578480,0.5000,0.5000,0.0000
2.144529,7.475502,0.5000,0.5000,0.0000
2.040355,7.421770,0.5000,0.5000,0.0000
1.907270,7.407110,0.5000,0.5000,0.0000
1.798634,7.442311,0.5000,0.5000,0.0000
1.700621,7.475003,0.5000,0.5000,0.0000
1.598135,7.525878,0.5000,0.5000,0.0000
1.530381,7.600526,0.5000,0.5000,0.0000
1.421576,7.600995,0.5000,0.5000,0.0000
1.428220,7.705929,0.5000,0.5000,0.0000
1.301831,7.774532,0.5000,0.5000,0.0000
1.243355,7.865566,0.5000,0.5000,0.0000
1.181581,7.954521,0.5000,0.5000,0.0000
1.178214,8.063450,0.5000,0.5000,0.0000
1.178646,8.174110,0.5000,0.5000,0.0000
1.166016,8.274364,0.5000,0.5000,0.0000
1.175769,8.380992,0.5000,0.5000,0.0000
1.156997,8.482711,0.5000,0.5000,0.0000
1.140305,8.586451,0.5000,0.5000,0.0000
1.196427,8.672705,0.5000,0.5000,0.0000
1.261188,8.761871,0.5000,0.5000,0.0000
1.196464,8.684361,0.5000,0.5000,0.0000
1.265942,8.781284,0.5000,0.5000,0.0000
1.296970,8.886836,0.5000,0.5000,0.0000
1.307133,8.994856,0.5000,0.5000,0.0000
1.369918,9.089383,0.5000,0.5000,0.0000
1.351262,8.979140,0.5000,0.5000,0.0000
1.250023,8.995504,0.5000,0.5000,0.0000
1.147705,9.000886,0.5000,0.5000,0.0000
