right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-0.215576,8.424492,-0.198815,-1.210736,8.326220,-0.198815
-0.225602,8.524764,-0.199030,-1.222696,8.448589,-0.199030
-0.229879,8.606483,-0.198206,-1.229411,8.575893,-0.198206
-0.230705,8.706001,-0.200138,-1.230621,8.693052,-0.200138
-0.232577,8.817086,-0.206298,-1.232216,8.790213,-0.206298
-0.236529,8.904403,-0.201748,-1.236338,8.923942,-0.201748
-0.228727,8.994336,-0.207381,-1.227746,9.038629,-0.207381
-0.227431,9.109787,-0.196480,-1.227254,9.128628,-0.196480
-0.225147,9.190754,-0.217642,-1.223769,9.243232,-0.217642
-0.219810,9.264276,-0.221909,-1.213945,9.372427,-0.221909
-0.205756,9.362302,-0.219821,-1.198171,9.485229,-0.219821
-0.198679,9.440891,-0.215704,-1.182590,9.619548,-0.215704
-0.184443,9.494169,-0.217672,-1.140944,9.785899,-0.217672
-0.163076,9.556449,-0.224290,-1.081627,9.951752,-0.224290
-0.141600,9.596773,-0.224927,-1.000927,10.108200,-0.224927
-0.108390,9.645111,-0.229896,-0.911174,10.241381,-0.229896
-0.076616,9.684816,-0.229841,-0.810274,10.364334,-0.229841
-0.061644,9.700682,-0.231950,-0.677609,10.488455,-0.231950
-0.038711,9.714641,-0.230893,-0.519622,10.591410,-0.230893
-0.007147,9.730007,-0.226356,-0.346336,10.670726,-0.226356
-0.090871,9.725129,-0.223288,-0.068227,10.724872,-0.223288
0.007468,9.696071,-0.221615,0.025581,10.695907,-0.221615
0.134316,9.721705,-0.217590,0.101010,10.721150,-0.217590
0.155083,9.706692,-0.201631,0.281106,10.698720,-0.201631
0.302456,9.696748,-0.162003,0.323082,10.696536,-0.162003
0.407626,9.698725,-0.122499,0.416365,10.698687,-0.122499
0.457067,9.697025,-0.074981,0.547281,10.692948,-0.074981
0.530125,9.686734,-0.022320,0.675530,10.676106,-0.022320
0.619226,9.672453,0.022879,0.777142,10.659906,0.022879
0.727438,9.655189,0.057766,0.871385,10.644774,0.057766
0.856371,9.638317,0.074007,0.960369,10.632894,0.074007
1.011153,9.627615,0.114082,1.015565,10.627605,0.114082
1.127358,9.634826,0.148512,1.104130,10.634556,0.148512
1.215897,9.632324,0.172787,1.216595,10.632324,0.172787
1.298525,9.634645,0.213749,1.317333,10.634468,0.213749
1.359072,9.631171,0.236106,1.458292,10.626237,0.236106
1.490715,9.614378,0.259162,1.544258,10.612944,0.259162
1.614851,9.617462,0.294169,1.622374,10.617433,0.294169
1.689547,9.613075,0.309365,1.750815,10.611197,0.309365
1.825597,9.605027,0.325710,1.816922,10.604990,0.325710
1.981793,9.617187,0.350979,1.867492,10.610633,0.350979
2.093351,9.633129,0.398709,1.957999,10.623926,0.398709
2.162339,9.642587,0.448823,2.084681,10.639567,0.448823
2.237400,9.644446,0.473372,2.220922,10.644310,0.473372
2.342676,9.644621,0.469294,2.327428,10.644505,0.469294
2.463896,9.647958,0.473753,2.433260,10.647489,0.473753
2.576479,9.651876,0.460200,2.521586,10.650368,0.460200
2.717335,9.662297,0.453837,2.615588,10.657107,0.453837
2.832795,9.677568,0.449493,2.719914,10.671176,0.449493
2.935111,9.687127,0.461076,2.844028,10.682970,0.461076
3.025044,9.695371,0.461007,2.970668,10.693891,0.461007
3.110777,9.696812,0.462750,3.099146,10.696744,0.462750
3.224690,9.697375,0.459349,3.189498,10.696755,0.459349
3.338748,9.704713,0.480860,3.296618,10.703825,0.480860
3.449913,9.706874,0.471499,3.415409,10.706279,0.471499
3.576708,9.713536,0.450110,3.492403,10.709976,0.450110
3.687944,9.726397,0.460581,3.609330,10.723302,0.460581
3.784182,9.729965,0.461279,3.722989,10.728091,0.461279
3.871854,9.738006,0.451793,3.851101,10.737790,0.451793
3.925917,9.734962,0.435359,4.004384,10.731879,0.435359
4.018565,9.724278,0.424869,4.130891,10.717949,0.424869
4.142441,9.710541,0.412646,4.217820,10.707696,0.412646
4.296996,9.706104,0.389429,4.259080,10.705385,0.389429
4.434941,9.719368,0.356985,4.335847,10.714446,0.356985
4.524016,9.727937,0.318422,4.450872,10.725258,0.318422
4.571136,9.731546,0.284533,4.594981,10.731262,0.284533
4.626374,9.725335,0.244537,4.743635,10.718436,0.244537
4.738437,9.709708,0.227849,4.833613,10.705169,0.227849
4.886166,9.702841,0.199632,4.882298,10.702834,0.199632
4.986891,9.708288,0.158044,4.965517,10.708060,0.158044
5.055925,9.707200,0.103679,5.091342,10.706573,0.103679
5.096678,9.705289,0.044851,5.214257,10.698353,0.044851
5.192581,9.689342,-0.012611,5.299015,10.683662,-0.012611
5.348408,9.683619,-0.074850,5.309637,10.682867,-0.074850
5.462173,9.695014,-0.132821,5.379114,10.691559,-0.132821
5.510596,9.698372,-0.181375,5.510475,10.698372,-0.181375
5.511338,9.703469,-0.205552,5.711903,10.683150,-0.205552
5.462448,9.722188,-0.218994,5.952393,10.593941,-0.218994
5.441895,9.733283,-0.222588,6.133858,10.455216,-0.222588
5.440528,9.736030,-0.220098,6.265904,10.300613,-0.220098
5.441421,9.732817,-0.214075,6.362584,10.121995,-0.214075
5.441799,9.734319,-0.216251,6.422936,9.927631,-0.216251
5.440692,9.734646,-0.210095,6.440667,9.727567,-0.210095
5.435056,9.693772,-0.211688,6.426830,9.565775,-0.211688
5.429232,9.649216,-0.208697,6.400026,9.409302,-0.208697
5.410500,9.596778,-0.206945,6.351330,9.257899,-0.206945
5.374341,9.504537,-0.203400,6.309885,9.151326,-0.203400
5.337455,9.403346,-0.215732,6.277586,9.062532,-0.215732
5.306077,9.316128,-0.214403,6.240005,8.958667,-0.214403
5.253867,9.181071,-0.208747,6.212430,8.896188,-0.208747
5.226909,9.052549,-0.211266,6.198939,8.817691,-0.211266
5.199889,8.960235,-0.214282,6.167915,8.709384,-0.214282
5.177017,8.860264,-0.208758,6.143858,8.604886,-0.208758
5.151719,8.776125,-0.211329,6.106853,8.479949,-0.211329
5.120221,8.678625,-0.211240,6.075014,8.381354,-0.211240
5.087014,8.568183,-0.210239,6.045258,8.282230,-0.210239
5.054493,8.458370,-0.211735,6.016001,8.183594,-0.211735
5.035074,8.383354,-0.210312,5.978597,8.052048,-0.210312
5.007363,8.320534,-0.207264,5.916793,7.904675,-0.207264
4.977721,8.259380,-0.209704,5.852548,7.774945,-0.209704
4.949304,8.212663,-0.210700,5.766534,7.636350,-0.210700
4.913612,8.169362,-0.207029,5.670162,7.515426,-0.207029
4.877393,8.129332,-0.206649,5.564618,7.402887,-0.206649
4.835930,8.094923,-0.208642,5.436609,7.295433,-0.208642
4.795135,8.067159,-0.204789,5.297140,7.202294,-0.204789
4.737426,8.040071,-0.205020,5.171163,7.139032,-0.205020
4.688517,8.014971,-0.203184,5.034497,7.076729,-0.203184
4.654228,8.006270,-0.207063,4.861641,7.028017,-0.207063
4.592792,7.998257,-0.209857,4.718995,7.006253,-0.209857
4.532383,7.990718,-0.206188,4.575314,6.991640,-0.206188
4.485254,7.991634,-0.208372,4.405790,6.994796,-0.208372
4.420889,8.001944,-0.210296,4.266691,7.013904,-0.210296
4.361704,8.010716,-0.205311,4.128709,7.038238,-0.205311
4.331601,8.019670,-0.200636,3.961419,7.090711,-0.200636
4.296119,8.038097,-0.201335,3.811327,7.163467,-0.201335
4.245337,8.069929,-0.201284,3.686514,7.240642,-0.201284
4.192017,8.109142,-0.198843,3.578465,7.319488,-0.198843
4.136603,8.153786,-0.203384,3.461220,7.416319,-0.203384
4.113478,8.176749,-0.200328,3.342426,7.539976,-0.200328
4.078311,8.228415,-0.196916,3.250413,7.667536,-0.196916
4.036185,8.293182,-0.193146,3.175582,7.783906,-0.193146
4.004143,8.352644,-0.190658,3.106749,7.911412,-0.190658
3.976593,8.415179,-0.194777,3.051419,8.035638,-0.194777
3.954557,8.471593,-0.196778,3.000022,8.173494,-0.196778
3.939035,8.538162,-0.203378,2.967101,8.302909,-0.203378
3.918978,8.621330,-0.202292,2.938238,8.426010,-0.202292
3.907646,8.692348,-0.200730,2.916162,8.562112,-0.200730
3.899439,8.769736,-0.205712,2.901441,8.706491,-0.205712
3.897857,8.846957,-0.205281,2.897864,8.850721,-0.205281
3.901250,8.953180,-0.207966,2.901277,8.960495,-0.207966
3.899353,9.054711,-0.211780,2.899507,9.072214,-0.211780
3.902615,9.120161,-0.212290,2.907327,9.217127,-0.212290
3.916246,9.212389,-0.214289,2.922588,9.324838,-0.214289
3.927781,9.355756,-0.215704,2.928359,9.389764,-0.215704
3.926524,9.483549,-0.220465,2.926579,9.473019,-0.220465
3.925702,9.592586,-0.227061,2.926109,9.564069,-0.227061
3.919895,9.714220,-0.226992,2.921207,9.663015,-0.226992
3.913855,9.825864,-0.222717,2.915603,9.766768,-0.222717
3.905022,9.954390,-0.223393,2.911164,9.843724,-0.223393
3.885542,10.081108,-0.229806,2.898045,9.923471,-0.229806
3.869883,10.177432,-0.230210,2.879413,10.039707,-0.230210
3.859193,10.271053,-0.230649,2.867081,10.145698,-0.230649
3.841904,10.395379,-0.224251,2.856208,10.226848,-0.224251
3.815776,10.524695,-0.226372,2.838848,10.311124,-0.226372
3.787121,10.646665,-0.226153,2.819236,10.395272,-0.226153
3.752243,10.768950,-0.230801,2.796115,10.476002,-0.230801
3.691811,10.940356,-0.236864,2.789875,10.508486,-0.236864
3.599766,11.088503,-0.239521,2.768390,10.532792,-0.239521
3.499145,11.228573,-0.241185,2.755339,10.560178,-0.241185
3.363474,11.349285,-0.238534,2.737162,10.569712,-0.238534
3.242793,11.440408,-0.237490,2.687836,10.608529,-0.237490
3.114763,11.515254,-0.238342,2.634646,10.638050,-0.238342
2.943875,11.597672,-0.245304,2.622069,10.650867,-0.245304
2.745258,11.637645,-0.243653,2.623282,10.645112,-0.243653
2.589228,11.648958,-0.241606,2.573974,10.649075,-0.241606
2.454483,11.643898,-0.243920,2.503835,10.645117,-0.243920
2.322406,11.636109,-0.246266,2.424884,10.641373,-0.246266
2.197514,11.617684,-0.238330,2.342203,10.628207,-0.238330
2.086005,11.601857,-0.241868,2.253994,10.616068,-0.241868
1.962303,11.577182,-0.244758,2.176437,10.600377,-0.244758
1.811424,11.539181,-0.241479,2.130726,10.591528,-0.241479
1.675818,11.481809,-0.241936,2.076084,10.565410,-0.241936
1.529452,11.414608,-0.238562,2.030322,10.549086,-0.238562
1.382264,11.308210,-0.236730,2.014746,10.533635,-0.236730
1.284345,11.221768,-0.237724,1.958067,10.482783,-0.237724
1.167510,11.109038,-0.235706,1.920890,10.451452,-0.235706
1.058336,10.957462,-0.228926,1.909402,10.432403,-0.228926
0.990589,10.832036,-0.234936,1.881435,10.377731,-0.234936
0.928123,10.702912,-0.225535,1.849291,10.313746,-0.225535
0.871780,10.542216,-0.228378,1.837277,10.281804,-0.228378
0.844840,10.406145,-0.221908,1.827633,10.221433,-0.221908
0.823215,10.290296,-0.220906,1.811914,10.140380,-0.220906
0.807929,10.159065,-0.219113,1.803713,10.067334,-0.219113
0.800628,10.054454,-0.220781,1.796533,9.964052,-0.220781
0.790821,9.967716,-0.220386,1.783285,9.845174,-0.220386
0.777272,9.867301,-0.217299,1.768749,9.737020,-0.217299
0.763882,9.762809,-0.220550,1.755154,9.630980,-0.220550
0.747766,9.645437,-0.216694,1.739271,9.515371,-0.216694
0.734217,9.536670,-0.217022,1.725506,9.404965,-0.217022
0.720336,9.438940,-0.211479,1.710934,9.302129,-0.211479
0.706736,9.336762,-0.211013,1.693899,9.177043,-0.211013
0.689788,9.249135,-0.210174,1.670903,9.055713,-0.210174
0.667617,9.139840,-0.217767,1.649254,8.949077,-0.217767
0.646883,9.027583,-0.209020,1.632879,8.860814,-0.209020
0.630677,8.922313,-0.211619,1.617165,8.758477,-0.211619
0.612524,8.820712,-0.208528,1.598702,8.655024,-0.208528
0.594957,8.709621,-0.216685,1.582386,8.551558,-0.216685
0.580446,8.619886,-0.212938,1.564837,8.443891,-0.212938
0.563981,8.534894,-0.208947,1.541195,8.322637,-0.208947
0.542248,8.445085,-0.207984,1.514640,8.211730,-0.207984
0.519089,8.348316,-0.215464,1.490630,8.111445,-0.215464
0.508157,8.295972,-0.207214,1.453206,7.969043,-0.207214
0.492742,8.261362,-0.214066,1.377598,7.795497,-0.214066
0.491448,8.257190,-0.200786,1.272296,7.632470,-0.200786
0.451910,8.220584,-0.200193,1.165004,7.519515,-0.200193
0.399140,8.166022,-0.200843,1.074268,7.428322,-0.200843
0.367809,8.139680,-0.202525,0.949716,7.326425,-0.202525
0.322467,8.112456,-0.204153,0.819434,7.244686,-0.204153
0.293219,8.094189,-0.205746,0.663421,7.165238,-0.205746
0.257626,8.087515,-0.205618,0.505812,7.118803,-0.205618
0.183084,8.069073,-0.203516,0.366088,7.085960,-0.203516
0.112185,8.060353,-0.200273,0.226638,7.066924,-0.200273
0.062251,8.053448,-0.202601,0.069311,7.053473,-0.202601
0.042197,8.055441,-0.201139,-0.121229,7.068886,-0.201139
-0.007866,8.069487,-0.201089,-0.277279,7.106462,-0.201089
-0.058797,8.084471,-0.195662,-0.417258,7.150926,-0.195662
-0.125236,8.115648,-0.195791,-0.546930,7.208910,-0.195791
-0.179020,8.139230,-0.202492,-0.684272,7.276258,-0.202492
-0.201702,8.155385,-0.205163,-0.839720,7.385363,-0.205163
-0.236112,8.189823,-0.207112,-0.966608,7.506906,-0.207112
-0.251757,8.204823,-0.203282,-1.084817,7.651641,-0.203282
-0.252226,8.207860,-0.208716,-1.179768,7.834142,-0.208716
-0.258408,8.233678,-0.200659,-1.231552,8.003480,-0.200659
-0.268054,8.163521,-0.205754,-1.260461,8.286517,-0.205754
-0.239757,8.214440,-0.198815,-1.186554,8.536272,-0.198815
